focusLoc,locId,direction,time,n,category,name
1,1,to,39,8,Thrill Rides,Wrightiraptor Mountain
1,1,to,49,29,Thrill Rides,Wrightiraptor Mountain
1,1,to,50,47,Thrill Rides,Wrightiraptor Mountain
1,1,to,51,53,Thrill Rides,Wrightiraptor Mountain
1,1,to,52,37,Thrill Rides,Wrightiraptor Mountain
1,1,to,53,63,Thrill Rides,Wrightiraptor Mountain
1,1,to,54,52,Thrill Rides,Wrightiraptor Mountain
1,1,to,55,40,Thrill Rides,Wrightiraptor Mountain
1,1,to,56,24,Thrill Rides,Wrightiraptor Mountain
1,1,to,57,20,Thrill Rides,Wrightiraptor Mountain
1,1,to,58,43,Thrill Rides,Wrightiraptor Mountain
1,1,to,59,22,Thrill Rides,Wrightiraptor Mountain
1,1,to,60,28,Thrill Rides,Wrightiraptor Mountain
1,1,to,61,8,Thrill Rides,Wrightiraptor Mountain
1,1,to,62,7,Thrill Rides,Wrightiraptor Mountain
1,1,to,63,1,Thrill Rides,Wrightiraptor Mountain
1,10,from,3,8,Kiddie Rides,Jeredactyl Jump
1,10,from,4,6,Kiddie Rides,Jeredactyl Jump
1,10,from,5,5,Kiddie Rides,Jeredactyl Jump
1,10,from,7,4,Kiddie Rides,Jeredactyl Jump
1,10,from,8,8,Kiddie Rides,Jeredactyl Jump
1,10,from,9,10,Kiddie Rides,Jeredactyl Jump
1,10,from,10,43,Kiddie Rides,Jeredactyl Jump
1,10,from,25,4,Kiddie Rides,Jeredactyl Jump
1,10,from,26,3,Kiddie Rides,Jeredactyl Jump
1,10,from,27,4,Kiddie Rides,Jeredactyl Jump
1,10,from,28,15,Kiddie Rides,Jeredactyl Jump
1,10,from,29,2,Kiddie Rides,Jeredactyl Jump
1,10,from,31,2,Kiddie Rides,Jeredactyl Jump
1,10,from,32,6,Kiddie Rides,Jeredactyl Jump
1,10,from,33,4,Kiddie Rides,Jeredactyl Jump
1,10,from,35,3,Kiddie Rides,Jeredactyl Jump
1,10,from,49,8,Kiddie Rides,Jeredactyl Jump
1,10,from,50,2,Kiddie Rides,Jeredactyl Jump
1,10,from,51,7,Kiddie Rides,Jeredactyl Jump
1,10,from,52,13,Kiddie Rides,Jeredactyl Jump
1,10,from,53,9,Kiddie Rides,Jeredactyl Jump
1,10,from,54,7,Kiddie Rides,Jeredactyl Jump
1,10,from,55,5,Kiddie Rides,Jeredactyl Jump
1,10,from,56,3,Kiddie Rides,Jeredactyl Jump
1,10,from,57,2,Kiddie Rides,Jeredactyl Jump
1,10,from,58,4,Kiddie Rides,Jeredactyl Jump
1,10,from,60,7,Kiddie Rides,Jeredactyl Jump
1,10,from,61,5,Kiddie Rides,Jeredactyl Jump
1,10,to,3,8,Kiddie Rides,Jeredactyl Jump
1,10,to,4,3,Kiddie Rides,Jeredactyl Jump
1,10,to,6,2,Kiddie Rides,Jeredactyl Jump
1,10,to,7,5,Kiddie Rides,Jeredactyl Jump
1,10,to,8,2,Kiddie Rides,Jeredactyl Jump
1,10,to,9,4,Kiddie Rides,Jeredactyl Jump
1,10,to,12,7,Kiddie Rides,Jeredactyl Jump
1,10,to,25,6,Kiddie Rides,Jeredactyl Jump
1,10,to,26,3,Kiddie Rides,Jeredactyl Jump
1,10,to,27,6,Kiddie Rides,Jeredactyl Jump
1,10,to,28,9,Kiddie Rides,Jeredactyl Jump
1,10,to,29,10,Kiddie Rides,Jeredactyl Jump
1,10,to,30,4,Kiddie Rides,Jeredactyl Jump
1,10,to,31,5,Kiddie Rides,Jeredactyl Jump
1,10,to,33,3,Kiddie Rides,Jeredactyl Jump
1,10,to,34,9,Kiddie Rides,Jeredactyl Jump
1,10,to,36,2,Kiddie Rides,Jeredactyl Jump
1,10,to,49,6,Kiddie Rides,Jeredactyl Jump
1,10,to,51,11,Kiddie Rides,Jeredactyl Jump
1,10,to,52,7,Kiddie Rides,Jeredactyl Jump
1,10,to,53,8,Kiddie Rides,Jeredactyl Jump
1,10,to,54,12,Kiddie Rides,Jeredactyl Jump
1,10,to,55,19,Kiddie Rides,Jeredactyl Jump
1,10,to,56,5,Kiddie Rides,Jeredactyl Jump
1,10,to,57,10,Kiddie Rides,Jeredactyl Jump
1,10,to,58,8,Kiddie Rides,Jeredactyl Jump
1,10,to,59,3,Kiddie Rides,Jeredactyl Jump
1,10,to,60,2,Kiddie Rides,Jeredactyl Jump
1,11,from,3,2,Kiddie Rides,Sauroma Bumpers
1,11,from,4,5,Kiddie Rides,Sauroma Bumpers
1,11,from,5,2,Kiddie Rides,Sauroma Bumpers
1,11,from,6,2,Kiddie Rides,Sauroma Bumpers
1,11,from,7,4,Kiddie Rides,Sauroma Bumpers
1,11,from,11,8,Kiddie Rides,Sauroma Bumpers
1,11,from,12,7,Kiddie Rides,Sauroma Bumpers
1,11,from,14,7,Kiddie Rides,Sauroma Bumpers
1,11,from,26,6,Kiddie Rides,Sauroma Bumpers
1,11,from,27,5,Kiddie Rides,Sauroma Bumpers
1,11,from,28,6,Kiddie Rides,Sauroma Bumpers
1,11,from,29,9,Kiddie Rides,Sauroma Bumpers
1,11,from,30,17,Kiddie Rides,Sauroma Bumpers
1,11,from,32,7,Kiddie Rides,Sauroma Bumpers
1,11,from,33,1,Kiddie Rides,Sauroma Bumpers
1,11,from,35,8,Kiddie Rides,Sauroma Bumpers
1,11,from,36,7,Kiddie Rides,Sauroma Bumpers
1,11,from,49,8,Kiddie Rides,Sauroma Bumpers
1,11,from,51,8,Kiddie Rides,Sauroma Bumpers
1,11,from,52,9,Kiddie Rides,Sauroma Bumpers
1,11,from,53,2,Kiddie Rides,Sauroma Bumpers
1,11,from,54,3,Kiddie Rides,Sauroma Bumpers
1,11,from,55,16,Kiddie Rides,Sauroma Bumpers
1,11,from,56,6,Kiddie Rides,Sauroma Bumpers
1,11,from,57,16,Kiddie Rides,Sauroma Bumpers
1,11,from,58,1,Kiddie Rides,Sauroma Bumpers
1,11,from,60,1,Kiddie Rides,Sauroma Bumpers
1,11,from,62,2,Kiddie Rides,Sauroma Bumpers
1,11,from,64,3,Kiddie Rides,Sauroma Bumpers
1,11,to,1,4,Kiddie Rides,Sauroma Bumpers
1,11,to,2,8,Kiddie Rides,Sauroma Bumpers
1,11,to,3,10,Kiddie Rides,Sauroma Bumpers
1,11,to,6,4,Kiddie Rides,Sauroma Bumpers
1,11,to,7,2,Kiddie Rides,Sauroma Bumpers
1,11,to,26,6,Kiddie Rides,Sauroma Bumpers
1,11,to,27,2,Kiddie Rides,Sauroma Bumpers
1,11,to,28,3,Kiddie Rides,Sauroma Bumpers
1,11,to,29,4,Kiddie Rides,Sauroma Bumpers
1,11,to,30,1,Kiddie Rides,Sauroma Bumpers
1,11,to,31,7,Kiddie Rides,Sauroma Bumpers
1,11,to,36,9,Kiddie Rides,Sauroma Bumpers
1,11,to,49,1,Kiddie Rides,Sauroma Bumpers
1,11,to,50,6,Kiddie Rides,Sauroma Bumpers
1,11,to,51,12,Kiddie Rides,Sauroma Bumpers
1,11,to,52,11,Kiddie Rides,Sauroma Bumpers
1,11,to,53,1,Kiddie Rides,Sauroma Bumpers
1,11,to,54,11,Kiddie Rides,Sauroma Bumpers
1,11,to,55,13,Kiddie Rides,Sauroma Bumpers
1,11,to,56,2,Kiddie Rides,Sauroma Bumpers
1,11,to,57,8,Kiddie Rides,Sauroma Bumpers
1,11,to,58,6,Kiddie Rides,Sauroma Bumpers
1,11,to,59,9,Kiddie Rides,Sauroma Bumpers
1,12,from,2,10,Kiddie Rides,Flying TyrAndrienkos
1,12,from,3,3,Kiddie Rides,Flying TyrAndrienkos
1,12,from,4,15,Kiddie Rides,Flying TyrAndrienkos
1,12,from,8,10,Kiddie Rides,Flying TyrAndrienkos
1,12,from,9,3,Kiddie Rides,Flying TyrAndrienkos
1,12,from,10,8,Kiddie Rides,Flying TyrAndrienkos
1,12,from,26,18,Kiddie Rides,Flying TyrAndrienkos
1,12,from,28,12,Kiddie Rides,Flying TyrAndrienkos
1,12,from,29,11,Kiddie Rides,Flying TyrAndrienkos
1,12,from,30,12,Kiddie Rides,Flying TyrAndrienkos
1,12,from,31,5,Kiddie Rides,Flying TyrAndrienkos
1,12,from,32,5,Kiddie Rides,Flying TyrAndrienkos
1,12,from,34,3,Kiddie Rides,Flying TyrAndrienkos
1,12,from,36,5,Kiddie Rides,Flying TyrAndrienkos
1,12,from,49,1,Kiddie Rides,Flying TyrAndrienkos
1,12,from,51,3,Kiddie Rides,Flying TyrAndrienkos
1,12,from,52,10,Kiddie Rides,Flying TyrAndrienkos
1,12,from,53,8,Kiddie Rides,Flying TyrAndrienkos
1,12,from,54,8,Kiddie Rides,Flying TyrAndrienkos
1,12,from,55,6,Kiddie Rides,Flying TyrAndrienkos
1,12,from,56,12,Kiddie Rides,Flying TyrAndrienkos
1,12,from,57,4,Kiddie Rides,Flying TyrAndrienkos
1,12,from,58,3,Kiddie Rides,Flying TyrAndrienkos
1,12,from,59,9,Kiddie Rides,Flying TyrAndrienkos
1,12,from,60,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,2,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,3,5,Kiddie Rides,Flying TyrAndrienkos
1,12,to,4,10,Kiddie Rides,Flying TyrAndrienkos
1,12,to,5,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,6,6,Kiddie Rides,Flying TyrAndrienkos
1,12,to,8,21,Kiddie Rides,Flying TyrAndrienkos
1,12,to,11,3,Kiddie Rides,Flying TyrAndrienkos
1,12,to,12,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,25,17,Kiddie Rides,Flying TyrAndrienkos
1,12,to,26,1,Kiddie Rides,Flying TyrAndrienkos
1,12,to,27,8,Kiddie Rides,Flying TyrAndrienkos
1,12,to,28,1,Kiddie Rides,Flying TyrAndrienkos
1,12,to,29,16,Kiddie Rides,Flying TyrAndrienkos
1,12,to,30,9,Kiddie Rides,Flying TyrAndrienkos
1,12,to,31,6,Kiddie Rides,Flying TyrAndrienkos
1,12,to,32,5,Kiddie Rides,Flying TyrAndrienkos
1,12,to,33,6,Kiddie Rides,Flying TyrAndrienkos
1,12,to,37,1,Kiddie Rides,Flying TyrAndrienkos
1,12,to,49,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,50,4,Kiddie Rides,Flying TyrAndrienkos
1,12,to,52,25,Kiddie Rides,Flying TyrAndrienkos
1,12,to,53,2,Kiddie Rides,Flying TyrAndrienkos
1,12,to,54,15,Kiddie Rides,Flying TyrAndrienkos
1,12,to,55,2,Kiddie Rides,Flying TyrAndrienkos
1,12,to,56,5,Kiddie Rides,Flying TyrAndrienkos
1,12,to,58,5,Kiddie Rides,Flying TyrAndrienkos
1,13,from,2,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,3,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,4,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,7,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,8,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,9,17,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,26,14,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,27,11,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,28,13,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,29,4,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,30,5,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,31,10,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,32,16,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,33,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,34,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,35,1,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,36,16,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,50,1,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,51,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,52,5,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,53,12,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,54,15,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,55,38,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,56,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,57,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,58,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,from,59,9,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,1,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,2,4,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,3,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,4,4,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,5,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,7,13,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,9,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,11,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,27,5,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,29,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,30,6,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,31,8,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,32,6,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,34,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,35,3,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,36,7,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,49,1,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,50,12,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,51,5,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,52,10,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,53,13,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,54,11,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,56,2,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,57,6,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,58,5,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,59,1,Kiddie Rides,Cyndisaurus Asteroid
1,13,to,62,35,Kiddie Rides,Cyndisaurus Asteroid
1,14,from,3,3,Kiddie Rides,Beelzebufo
1,14,from,4,3,Kiddie Rides,Beelzebufo
1,14,from,5,9,Kiddie Rides,Beelzebufo
1,14,from,6,9,Kiddie Rides,Beelzebufo
1,14,from,7,4,Kiddie Rides,Beelzebufo
1,14,from,9,2,Kiddie Rides,Beelzebufo
1,14,from,12,2,Kiddie Rides,Beelzebufo
1,14,from,14,7,Kiddie Rides,Beelzebufo
1,14,from,25,4,Kiddie Rides,Beelzebufo
1,14,from,27,8,Kiddie Rides,Beelzebufo
1,14,from,28,17,Kiddie Rides,Beelzebufo
1,14,from,29,10,Kiddie Rides,Beelzebufo
1,14,from,30,5,Kiddie Rides,Beelzebufo
1,14,from,31,15,Kiddie Rides,Beelzebufo
1,14,from,32,9,Kiddie Rides,Beelzebufo
1,14,from,33,5,Kiddie Rides,Beelzebufo
1,14,from,34,9,Kiddie Rides,Beelzebufo
1,14,from,35,6,Kiddie Rides,Beelzebufo
1,14,from,37,7,Kiddie Rides,Beelzebufo
1,14,from,50,5,Kiddie Rides,Beelzebufo
1,14,from,51,5,Kiddie Rides,Beelzebufo
1,14,from,52,15,Kiddie Rides,Beelzebufo
1,14,from,53,12,Kiddie Rides,Beelzebufo
1,14,from,54,3,Kiddie Rides,Beelzebufo
1,14,from,55,4,Kiddie Rides,Beelzebufo
1,14,from,56,3,Kiddie Rides,Beelzebufo
1,14,from,57,3,Kiddie Rides,Beelzebufo
1,14,from,58,2,Kiddie Rides,Beelzebufo
1,14,from,59,43,Kiddie Rides,Beelzebufo
1,14,from,60,7,Kiddie Rides,Beelzebufo
1,14,from,62,8,Kiddie Rides,Beelzebufo
1,14,to,5,16,Kiddie Rides,Beelzebufo
1,14,to,7,4,Kiddie Rides,Beelzebufo
1,14,to,9,4,Kiddie Rides,Beelzebufo
1,14,to,10,11,Kiddie Rides,Beelzebufo
1,14,to,25,1,Kiddie Rides,Beelzebufo
1,14,to,26,8,Kiddie Rides,Beelzebufo
1,14,to,27,7,Kiddie Rides,Beelzebufo
1,14,to,28,4,Kiddie Rides,Beelzebufo
1,14,to,29,6,Kiddie Rides,Beelzebufo
1,14,to,30,1,Kiddie Rides,Beelzebufo
1,14,to,31,3,Kiddie Rides,Beelzebufo
1,14,to,32,7,Kiddie Rides,Beelzebufo
1,14,to,33,4,Kiddie Rides,Beelzebufo
1,14,to,35,3,Kiddie Rides,Beelzebufo
1,14,to,36,7,Kiddie Rides,Beelzebufo
1,14,to,37,41,Kiddie Rides,Beelzebufo
1,14,to,49,4,Kiddie Rides,Beelzebufo
1,14,to,50,8,Kiddie Rides,Beelzebufo
1,14,to,51,6,Kiddie Rides,Beelzebufo
1,14,to,52,5,Kiddie Rides,Beelzebufo
1,14,to,53,6,Kiddie Rides,Beelzebufo
1,14,to,54,5,Kiddie Rides,Beelzebufo
1,14,to,55,1,Kiddie Rides,Beelzebufo
1,14,to,56,1,Kiddie Rides,Beelzebufo
1,14,to,57,11,Kiddie Rides,Beelzebufo
1,14,to,59,38,Kiddie Rides,Beelzebufo
1,14,to,60,7,Kiddie Rides,Beelzebufo
1,15,from,2,3,Kiddie Rides,Enchanted Toadstools
1,15,from,4,2,Kiddie Rides,Enchanted Toadstools
1,15,from,5,3,Kiddie Rides,Enchanted Toadstools
1,15,from,6,2,Kiddie Rides,Enchanted Toadstools
1,15,from,7,5,Kiddie Rides,Enchanted Toadstools
1,15,from,8,11,Kiddie Rides,Enchanted Toadstools
1,15,from,9,16,Kiddie Rides,Enchanted Toadstools
1,15,from,12,5,Kiddie Rides,Enchanted Toadstools
1,15,from,25,2,Kiddie Rides,Enchanted Toadstools
1,15,from,26,12,Kiddie Rides,Enchanted Toadstools
1,15,from,28,2,Kiddie Rides,Enchanted Toadstools
1,15,from,29,5,Kiddie Rides,Enchanted Toadstools
1,15,from,30,2,Kiddie Rides,Enchanted Toadstools
1,15,from,33,1,Kiddie Rides,Enchanted Toadstools
1,15,from,34,12,Kiddie Rides,Enchanted Toadstools
1,15,from,35,6,Kiddie Rides,Enchanted Toadstools
1,15,from,36,17,Kiddie Rides,Enchanted Toadstools
1,15,from,50,20,Kiddie Rides,Enchanted Toadstools
1,15,from,51,7,Kiddie Rides,Enchanted Toadstools
1,15,from,52,1,Kiddie Rides,Enchanted Toadstools
1,15,from,53,5,Kiddie Rides,Enchanted Toadstools
1,15,from,54,2,Kiddie Rides,Enchanted Toadstools
1,15,from,55,4,Kiddie Rides,Enchanted Toadstools
1,15,from,56,6,Kiddie Rides,Enchanted Toadstools
1,15,from,57,6,Kiddie Rides,Enchanted Toadstools
1,15,from,58,23,Kiddie Rides,Enchanted Toadstools
1,15,from,60,3,Kiddie Rides,Enchanted Toadstools
1,15,to,2,4,Kiddie Rides,Enchanted Toadstools
1,15,to,3,10,Kiddie Rides,Enchanted Toadstools
1,15,to,4,8,Kiddie Rides,Enchanted Toadstools
1,15,to,6,2,Kiddie Rides,Enchanted Toadstools
1,15,to,7,3,Kiddie Rides,Enchanted Toadstools
1,15,to,10,2,Kiddie Rides,Enchanted Toadstools
1,15,to,12,10,Kiddie Rides,Enchanted Toadstools
1,15,to,14,3,Kiddie Rides,Enchanted Toadstools
1,15,to,15,3,Kiddie Rides,Enchanted Toadstools
1,15,to,25,7,Kiddie Rides,Enchanted Toadstools
1,15,to,27,7,Kiddie Rides,Enchanted Toadstools
1,15,to,28,11,Kiddie Rides,Enchanted Toadstools
1,15,to,29,9,Kiddie Rides,Enchanted Toadstools
1,15,to,30,4,Kiddie Rides,Enchanted Toadstools
1,15,to,31,8,Kiddie Rides,Enchanted Toadstools
1,15,to,32,3,Kiddie Rides,Enchanted Toadstools
1,15,to,33,1,Kiddie Rides,Enchanted Toadstools
1,15,to,34,10,Kiddie Rides,Enchanted Toadstools
1,15,to,35,7,Kiddie Rides,Enchanted Toadstools
1,15,to,36,74,Kiddie Rides,Enchanted Toadstools
1,15,to,37,12,Kiddie Rides,Enchanted Toadstools
1,15,to,49,2,Kiddie Rides,Enchanted Toadstools
1,15,to,50,20,Kiddie Rides,Enchanted Toadstools
1,15,to,51,6,Kiddie Rides,Enchanted Toadstools
1,15,to,52,3,Kiddie Rides,Enchanted Toadstools
1,15,to,53,9,Kiddie Rides,Enchanted Toadstools
1,15,to,54,16,Kiddie Rides,Enchanted Toadstools
1,15,to,55,6,Kiddie Rides,Enchanted Toadstools
1,15,to,56,11,Kiddie Rides,Enchanted Toadstools
1,15,to,57,11,Kiddie Rides,Enchanted Toadstools
1,15,to,58,3,Kiddie Rides,Enchanted Toadstools
1,15,to,59,5,Kiddie Rides,Enchanted Toadstools
1,16,from,1,4,Kiddie Rides,Stegocycles
1,16,from,2,3,Kiddie Rides,Stegocycles
1,16,from,3,4,Kiddie Rides,Stegocycles
1,16,from,4,2,Kiddie Rides,Stegocycles
1,16,from,5,10,Kiddie Rides,Stegocycles
1,16,from,8,6,Kiddie Rides,Stegocycles
1,16,from,9,3,Kiddie Rides,Stegocycles
1,16,from,10,2,Kiddie Rides,Stegocycles
1,16,from,11,12,Kiddie Rides,Stegocycles
1,16,from,26,1,Kiddie Rides,Stegocycles
1,16,from,28,4,Kiddie Rides,Stegocycles
1,16,from,29,8,Kiddie Rides,Stegocycles
1,16,from,30,4,Kiddie Rides,Stegocycles
1,16,from,31,4,Kiddie Rides,Stegocycles
1,16,from,32,6,Kiddie Rides,Stegocycles
1,16,from,33,6,Kiddie Rides,Stegocycles
1,16,from,35,6,Kiddie Rides,Stegocycles
1,16,from,37,7,Kiddie Rides,Stegocycles
1,16,from,39,3,Kiddie Rides,Stegocycles
1,16,from,50,11,Kiddie Rides,Stegocycles
1,16,from,51,2,Kiddie Rides,Stegocycles
1,16,from,52,15,Kiddie Rides,Stegocycles
1,16,from,53,2,Kiddie Rides,Stegocycles
1,16,from,54,8,Kiddie Rides,Stegocycles
1,16,from,55,16,Kiddie Rides,Stegocycles
1,16,from,56,7,Kiddie Rides,Stegocycles
1,16,from,57,2,Kiddie Rides,Stegocycles
1,16,from,58,5,Kiddie Rides,Stegocycles
1,16,from,60,5,Kiddie Rides,Stegocycles
1,16,from,61,7,Kiddie Rides,Stegocycles
1,16,to,1,2,Kiddie Rides,Stegocycles
1,16,to,2,6,Kiddie Rides,Stegocycles
1,16,to,3,9,Kiddie Rides,Stegocycles
1,16,to,4,15,Kiddie Rides,Stegocycles
1,16,to,7,8,Kiddie Rides,Stegocycles
1,16,to,8,4,Kiddie Rides,Stegocycles
1,16,to,9,8,Kiddie Rides,Stegocycles
1,16,to,25,3,Kiddie Rides,Stegocycles
1,16,to,26,2,Kiddie Rides,Stegocycles
1,16,to,27,5,Kiddie Rides,Stegocycles
1,16,to,28,3,Kiddie Rides,Stegocycles
1,16,to,29,8,Kiddie Rides,Stegocycles
1,16,to,30,1,Kiddie Rides,Stegocycles
1,16,to,31,7,Kiddie Rides,Stegocycles
1,16,to,32,28,Kiddie Rides,Stegocycles
1,16,to,33,7,Kiddie Rides,Stegocycles
1,16,to,34,7,Kiddie Rides,Stegocycles
1,16,to,35,14,Kiddie Rides,Stegocycles
1,16,to,37,7,Kiddie Rides,Stegocycles
1,16,to,49,4,Kiddie Rides,Stegocycles
1,16,to,50,8,Kiddie Rides,Stegocycles
1,16,to,51,15,Kiddie Rides,Stegocycles
1,16,to,52,2,Kiddie Rides,Stegocycles
