timeBin,x,y,n
1,33,62,897
1,33,65,700
1,33,66,394
1,33,67,525
1,33,68,872
1,33,69,694
1,34,15,83
1,34,16,66
1,34,36,120
1,34,37,155
1,34,38,30
1,34,61,38
1,34,62,43
1,34,63,882
1,34,64,794
1,34,65,334
1,34,66,692
1,34,67,439
1,34,68,504
1,34,69,701
1,34,70,1234
1,35,15,78
1,35,16,72
1,35,37,184
1,35,38,119
1,35,62,70
1,35,63,110
1,35,64,262
1,35,65,580
1,35,71,1236
1,36,15,59
1,36,16,90
1,36,37,133
1,36,38,148
1,36,39,25
1,36,62,97
1,36,63,123
1,36,64,494
1,36,72,1237
1,37,16,94
1,37,17,56
1,37,37,180
1,37,38,111
1,37,62,160
1,37,63,530
1,37,73,1242
1,38,16,74
1,38,17,78
1,38,36,108
1,38,37,180
1,38,38,8
1,38,61,107
1,38,62,384
1,38,63,241
1,38,73,458
1,38,74,940
1,38,90,248
1,38,91,248
1,39,16,76
1,39,17,78
1,39,36,256
1,39,37,18
1,39,61,362
1,39,62,353
1,39,73,193
1,39,74,636
1,39,75,613
1,39,92,248
1,40,17,148
1,40,35,260
1,40,36,9
1,40,37,8
1,40,38,7
1,40,60,312
1,40,61,376
1,40,62,37
1,40,74,334
1,40,75,1078
1,40,93,248
1,41,17,25
1,41,18,128
1,41,34,277
1,41,35,26
1,41,36,47
1,41,37,12
1,41,38,7
1,41,59,283
1,41,60,394
1,41,61,58
1,41,74,14
1,41,75,419
1,41,76,1018
1,41,94,248
1,42,18,109
1,42,19,199
1,42,20,222
1,42,21,135
1,42,32,27
1,42,33,288
1,42,34,24
1,42,35,59
1,42,36,47
1,42,37,77
1,42,58,263
1,42,59,405
1,42,60,83
1,42,75,20
1,42,76,486
1,42,77,939
1,42,94,248
1,43,17,150
1,43,18,83
1,43,19,168
1,43,20,172
1,43,21,261
1,43,22,222
1,43,23,125
1,43,31,41
1,43,32,275
1,43,33,35
1,43,34,52
1,43,56,78
1,43,57,256
1,43,58,418
1,43,59,24
1,43,75,23
1,43,76,9
1,43,77,598
1,43,78,821
1,43,92,120
1,43,93,251
1,44,16,176
1,44,17,61
1,44,18,148
1,44,22,181
1,44,23,265
1,44,24,214
1,44,25,386
1,44,29,34
1,44,30,52
1,44,31,274
1,44,32,53
1,44,33,29
1,44,56,261
1,44,57,439
1,44,58,18
1,44,76,19
1,44,77,11
1,44,78,835
1,44,79,544
1,44,90,99
1,44,91,187
1,44,92,240
1,45,15,191
1,45,16,53
1,45,17,133
1,45,24,361
1,45,25,345
1,45,26,562
1,45,27,47
1,45,28,63
1,45,29,40
1,45,30,288
1,45,31,35
1,45,55,247
1,45,56,458
1,45,57,13
1,45,77,17
1,45,78,13
1,45,79,1263
1,45,89,162
1,45,90,146
1,45,91,217
1,46,14,202
1,46,15,55
1,46,16,113
1,46,27,551
1,46,28,26
1,46,29,275
1,46,54,219
1,46,55,480
1,46,56,9
1,46,57,1
1,46,78,18
1,46,79,11
1,46,80,1277
1,46,81,117
1,46,82,101
1,46,83,94
1,46,84,93
1,46,85,90
1,46,86,90
1,46,87,129
1,46,88,202
1,46,89,148
1,46,90,179
1,47,11,203
1,47,12,144
1,47,13,202
1,47,14,72
1,47,15,88
1,47,27,246
1,47,28,549
1,47,29,144
1,47,53,192
1,47,54,485
1,47,57,2
1,47,79,29
1,47,80,18
1,47,81,1241
1,47,82,132
1,47,83,120
1,47,84,136
1,47,85,125
1,47,86,212
1,47,87,153
1,47,88,185
1,47,89,111
1,48,12,149
1,48,13,67
1,48,14,50
1,48,28,517
1,48,29,430
1,48,52,123
1,48,53,323
1,48,54,243
1,48,56,1
1,48,57,1
1,48,82,1173
1,48,83,83
1,48,84,69
1,48,85,239
1,48,86,147
1,48,87,153
1,49,28,484
1,49,29,474
1,49,52,319
1,49,53,360
1,49,57,2
1,49,83,1131
1,49,84,190
1,50,28,482
1,50,29,458
1,50,51,230
1,50,52,265
1,50,53,221
1,50,57,2
1,50,83,434
1,50,84,897
1,51,28,460
1,51,29,493
1,51,50,144
1,51,51,247
1,51,52,321
1,51,83,226
1,51,84,595
1,51,85,536
1,52,28,315
1,52,29,649
1,52,50,304
1,52,51,395
1,52,84,474
1,52,85,862
1,53,29,454
1,53,30,514
1,53,49,247
1,53,50,325
1,53,51,131
1,53,85,742
1,53,86,581
1,54,29,277
1,54,30,427
1,54,31,304
1,54,48,204
1,54,49,294
1,54,50,202
1,54,85,406
1,54,86,927
1,55,30,533
1,55,31,408
1,55,47,130
1,55,48,321
1,55,49,246
1,55,50,60
1,55,86,723
1,55,87,596
1,56,30,342
1,56,31,594
1,56,47,407
1,56,48,253
1,56,86,578
1,56,87,763
1,57,30,259
1,57,31,404
1,57,32,341
1,57,46,394
1,57,47,268
1,57,55,8
1,57,56,8
1,57,57,8
1,57,58,16
1,57,59,15
1,57,60,22
1,57,61,27
1,57,62,22
1,57,63,19
1,57,64,90
1,57,65,23
1,57,66,13
1,57,67,20
1,57,68,22
1,57,69,36
1,57,70,31
1,57,71,41
1,57,72,41
1,57,73,37
1,57,74,44
1,57,75,40
1,57,76,36
1,57,77,24
1,57,78,27
1,57,79,25
1,57,80,96
1,57,81,112
1,57,82,106
1,57,83,97
1,57,84,112
1,57,85,241
1,57,86,190
1,57,87,522
1,57,88,440
1,58,31,529
1,58,32,419
1,58,45,387
1,58,46,274
1,58,55,6
1,58,56,8
1,58,57,30
1,58,58,25
1,58,59,22
1,58,60,19
1,58,61,10
1,58,62,17
1,58,63,22
1,58,64,10
1,58,65,72
1,58,66,23
1,58,67,13
1,58,68,48
1,58,69,39
1,58,70,45
1,58,71,36
1,58,72,35
1,58,73,39
1,58,74,33
1,58,75,36
1,58,76,39
1,58,77,52
1,58,78,34
1,58,79,50
1,58,80,151
1,58,81,106
1,58,82,111
1,58,83,118
1,58,84,103
1,58,85,17
1,58,86,206
1,58,87,334
1,58,88,703
1,59,31,330
1,59,32,611
1,59,44,379
1,59,45,281
1,59,56,37
1,59,66,55
1,59,67,38
1,59,78,23
1,59,79,139
1,59,87,375
1,59,88,471
1,59,89,392
1,60,31,54
1,60,32,497
1,60,33,425
1,60,37,80
1,60,43,364
1,60,44,294
1,60,55,16
1,60,56,23
1,60,66,36
1,60,67,44
1,60,78,64
1,60,79,80
1,60,87,180
1,60,88,602
1,60,89,458
1,61,30,21
1,61,31,33
1,61,32,60
1,61,33,749
1,61,36,154
1,61,37,41
1,61,42,382
1,61,43,343
1,61,55,23
1,61,56,18
1,61,66,38
1,61,67,43
1,61,78,78
1,61,79,67
1,61,87,170
1,61,88,233
1,61,89,850
1,62,29,2
1,62,30,22
1,62,31,46
1,62,32,54
1,62,33,59
1,62,34,741
1,62,35,341
1,62,36,199
1,62,37,302
1,62,41,460
1,62,42,273
1,62,43,205
1,62,44,191
1,62,45,71
1,62,55,24
1,62,56,13
1,62,66,41
1,62,67,38
1,62,78,66
1,62,79,78
1,62,87,182
1,62,88,219
1,62,89,110
1,62,90,755
1,63,28,2
1,63,30,32
1,63,31,71
1,63,32,64
1,63,33,66
1,63,34,50
1,63,35,549
1,63,36,303
1,63,37,285
1,63,38,532
1,63,39,470
1,63,40,580
1,63,41,270
1,63,42,274
1,63,43,350
1,63,44,423
1,63,45,196
1,63,46,143
1,63,55,22
1,63,56,15
1,63,66,38
1,63,67,43
1,63,78,75
1,63,79,71
1,63,87,195
1,63,88,229
1,63,89,109
1,63,91,728
1,63,96,828
1,63,97,849
1,63,98,831
1,63,99,1668
1,64,28,2
1,64,29,48
1,64,30,19
1,64,32,103
1,64,33,80
1,64,36,331
1,64,37,254
1,64,38,409
1,64,39,495
1,64,40,387
1,64,41,241
1,64,42,288
1,64,43,480
1,64,44,332
1,64,45,574
1,64,46,257
1,64,47,236
1,64,55,37
1,64,66,45
1,64,67,39
1,64,78,72
1,64,79,74
1,64,87,255
1,64,88,268
1,64,92,1107
1,64,93,791
1,64,94,832
1,64,95,1232
1,64,96,817
1,64,97,802
1,64,98,825
1,65,27,2
1,65,28,48
1,65,32,84
1,65,33,77
1,65,36,13
1,65,37,172
1,65,41,316
1,65,42,397
1,65,46,453
1,65,47,353
1,65,48,441
1,65,49,429
1,65,50,432
1,65,51,436
1,65,52,419
1,65,53,420
1,65,54,160
1,65,55,8
1,65,56,3
1,65,66,44
1,65,67,40
1,65,78,64
1,65,79,81
1,65,87,243
1,65,88,276
1,65,91,599
1,65,92,345
1,65,93,841
1,65,94,813
1,65,95,413
1,66,26,2
1,66,27,48
1,66,32,80
1,66,33,86
1,66,36,30
1,66,37,41
1,66,41,288
1,66,42,268
1,66,47,260
1,66,48,394
1,66,49,406
1,66,50,404
1,66,51,393
1,66,52,405
1,66,53,412
1,66,54,678
1,66,55,204
1,66,56,8
1,66,66,44
1,66,67,40
1,66,78,73
1,66,79,71
1,66,87,253
1,66,88,491
1,66,90,712
1,66,91,234
1,66,92,175
1,67,25,1
1,67,26,48
1,67,32,77
1,67,33,87
1,67,37,58
1,67,41,115
1,67,42,382
1,67,55,619
1,67,56,283
1,67,66,228
1,67,67,196
1,67,78,154
1,67,79,55
1,67,87,919
1,67,88,291
1,67,89,799
1,67,90,154
1,67,91,63
1,68,24,1
1,68,25,48
1,68,32,63
1,68,33,103
1,68,41,93
1,68,42,112
1,68,43,315
1,68,56,545
1,68,57,447
1,68,58,396
1,68,59,403
1,68,60,306
1,68,61,254
1,68,62,299
1,68,63,330
1,68,64,402
1,68,65,541
1,68,66,380
1,68,67,345
1,68,68,482
1,68,69,448
1,68,70,447
1,68,71,468
1,68,72,429
1,68,73,480
1,68,74,439
1,68,75,146
1,68,76,129
1,68,77,218
1,68,78,118
1,68,79,81
1,68,80,109
1,68,81,144
1,68,82,153
1,68,83,352
1,68,84,587
1,68,85,662
1,68,86,1102
1,68,87,294
1,68,88,334
1,68,89,97
1,68,90,30
1,69,24,24
1,69,25,26
1,69,32,45
1,69,33,70
1,69,34,49
1,69,41,79
1,69,42,92
1,69,43,91
1,69,44,261
1,69,57,360
1,69,58,442
1,69,59,411
1,69,60,517
1,69,61,341
1,69,62,308
1,69,63,341
1,69,64,477
1,69,65,349
1,69,66,309
1,69,67,404
1,69,68,432
1,69,69,465
1,69,70,466
1,69,71,453
1,69,72,548
1,69,73,463
1,69,74,498
1,69,75,779
1,69,76,195
1,69,77,126
1,69,78,118
1,69,79,141
1,69,80,189
1,69,81,182
1,69,82,493
1,69,83,612
1,69,84,754
1,69,85,684
1,69,86,208
1,69,87,120
1,69,88,37
1,70,24,25
1,70,25,25
1,70,33,92
1,70,34,67
1,70,42,130
1,70,43,77
1,70,44,142
1,70,61,244
1,70,62,162
1,70,63,222
1,70,76,665
1,70,77,140
1,70,78,120
1,70,79,202
1,70,80,153
1,70,81,465
1,70,82,674
1,70,83,377
1,71,24,26
1,71,25,25
1,71,33,68
1,71,34,96
1,71,42,86
1,71,43,104
1,71,44,46
1,71,45,116
1,71,61,4
1,71,62,133
1,71,77,618
1,71,78,204
1,71,79,89
1,71,80,488
1,71,81,547
1,72,24,33
1,72,25,20
1,72,33,40
1,72,34,79
1,72,35,50
1,72,43,147
1,72,44,62
1,72,45,54
1,72,46,87
1,72,61,43
1,72,62,51
1,72,76,289
1,72,77,276
1,72,78,135
1,72,79,550
1,72,80,361
1,72,81,40
1,72,82,220
1,73,20,2
1,73,24,27
1,73,25,26
1,73,33,42
1,73,34,65
1,73,35,58
1,73,44,177
1,73,45,50
1,73,46,71
1,73,47,51
1,73,61,46
1,73,62,45
1,73,75,166
1,73,76,283
1,73,77,144
1,73,78,683
1,73,79,223
1,73,81,81
1,73,82,50
1,73,83,238
1,73,84,137
1,74,21,2
1,74,23,8
1,74,24,21
1,74,25,25
1,74,33,28
1,74,34,70
1,74,35,66
1,74,45,202
1,74,46,52
1,74,47,90
1,74,60,27
1,74,61,65
1,74,74,53
1,74,75,210
1,74,76,204
1,74,77,769
1,74,82,55
1,74,83,70
1,74,84,162
1,74,85,170
1,74,86,1
1,75,22,2
1,75,23,10
1,75,24,16
1,75,25,26
1,75,34,72
1,75,35,95
1,75,46,216
1,75,47,70
1,75,48,50
1,75,60,57
1,75,61,36
1,75,74,160
1,75,75,44
1,75,76,569
1,75,77,447
1,75,84,24
1,75,85,117
1,75,86,235
1,75,87,34
1,76,22,2
1,76,23,14
1,76,24,37
1,76,34,35
1,76,35,78
1,76,36,51
1,76,47,249
1,76,48,71
1,76,59,22
1,76,60,29
1,76,61,45
1,76,73,151
1,76,74,1
1,76,75,482
1,76,76,198
1,76,77,318
1,76,78,236
1,76,87,211
1,76,88,49
1,77,23,25
1,77,24,28
1,77,35,61
1,77,36,96
1,77,47,166
1,77,48,156
1,77,59,26
1,77,60,51
1,77,73,18
1,77,74,416
1,77,76,362
1,77,77,342
1,77,78,253
1,77,87,115
1,77,88,131
1,78,24,38
1,78,25,15
1,78,35,35
1,78,36,61
1,78,37,77
1,78,47,75
1,78,48,296
1,78,59,52
1,78,60,24
1,78,73,219
1,78,74,219
1,78,76,165
1,78,77,485
1,78,78,309
1,78,87,62
1,78,88,133
1,78,89,53
1,79,25,48
1,79,36,86
1,79,37,77
1,79,47,234
1,79,48,92
1,79,58,34
1,79,59,40
1,79,73,218
1,79,74,216
1,79,76,75
1,79,77,304
1,79,78,574
1,79,87,99
1,79,88,51
1,79,89,91
1,80,37,156
1,80,46,186
1,80,47,84
1,80,48,80
1,80,58,46
1,80,59,30
1,80,73,226
1,80,74,212
1,80,77,193
1,80,78,428
1,80,79,324
1,80,87,56
1,80,88,118
1,80,89,1
1,81,38,156
1,81,39,36
1,81,45,153
1,81,46,66
1,81,47,133
1,81,57,31
1,81,58,48
1,81,72,134
1,81,73,306
1,81,77,166
1,81,78,271
1,81,79,478
1,81,87,131
1,81,88,37
1,82,39,123
1,82,40,53
1,82,41,19
1,82,42,17
1,82,43,4
1,82,44,119
1,82,45,70
1,82,46,160
1,82,57,50
1,82,58,27
1,82,71,75
1,82,72,351
1,82,73,8
1,82,78,347
1,82,79,325
1,82,80,226
1,82,86,104
1,82,87,43
1,82,88,33
1,83,40,106
1,83,41,57
1,83,42,13
1,83,43,90
1,83,44,64
1,83,45,200
1,83,56,31
1,83,57,45
1,83,71,404
1,83,72,14
1,83,78,394
1,83,79,423
1,83,85,88
1,83,86,40
1,83,87,48
1,83,88,30
1,84,41,96
1,84,42,91
1,84,43,32
1,84,44,293
1,84,56,73
1,84,70,403
1,84,71,15
1,84,78,177
1,84,79,644
1,84,84,84
1,84,85,50
1,84,86,65
1,85,42,59
1,85,43,167
1,85,44,59
1,85,45,249
1,85,46,76
1,85,55,73
1,85,68,175
1,85,69,401
1,85,70,15
1,85,79,279
1,85,80,517
1,85,81,9
1,85,82,11
1,85,83,98
1,85,84,35
1,85,85,33
1,85,86,73
1,86,44,245
1,86,45,56
1,86,46,201
1,86,47,123
1,86,54,83
1,86,66,153
1,86,67,272
1,86,68,239
1,86,69,15
1,86,80,559
1,86,81,234
1,86,82,107
1,86,83,18
1,87,45,140
1,87,46,54
1,87,47,185
1,87,48,201
1,87,53,132
1,87,54,52
1,87,55,48
1,87,63,247
1,87,64,193
1,87,65,274
1,87,66,192
1,87,67,145
1,87,68,18
1,87,79,334
1,87,80,364
1,87,81,188
1,88,46,107
1,88,47,72
1,88,48,175
1,88,49,244
1,88,50,183
1,88,51,168
1,88,52,219
1,88,53,110
1,88,54,89
1,88,55,93
1,88,56,123
1,88,57,115
1,88,58,122
1,88,59,115
1,88,60,132
1,88,61,151
1,88,62,236
1,88,63,129
1,88,64,175
1,88,65,113
1,88,66,77
1,88,67,3
1,88,79,582
1,88,80,275
1,89,47,64
1,89,48,80
1,89,49,174
1,89,50,244
1,89,51,195
1,89,52,129
1,89,53,116
1,89,54,124
1,89,55,135
1,89,56,162
1,89,57,161
1,89,58,159
1,89,59,162
1,89,60,143
1,89,61,175
1,89,62,96
1,89,63,84
1,89,64,53
1,89,65,32
1,89,78,384
1,89,79,464
1,90,51,77
1,90,52,87
1,90,53,90
1,90,54,104
1,90,55,102
1,90,56,90
1,90,57,97
1,90,58,98
1,90,59,96
1,90,60,92
1,90,61,40
1,90,62,36
1,90,78,576
1,90,79,273
1,91,77,352
1,91,78,414
1,91,79,67
1,91,80,22
1,92,77,645
1,92,78,181
1,92,79,3
1,92,80,2
1,92,81,23
1,93,76,408
1,93,77,400
1,94,76,398
1,94,77,407
1,95,76,394
1,95,77,409
1,96,76,396
1,96,77,407
1,97,76,400
1,97,77,410
1,98,76,416
1,98,77,396
1,99,77,821
2,0,67,59
2,1,66,31
2,1,67,30
2,2,66,40
2,2,67,24
2,3,66,112
2,3,67,28
2,4,66,92
2,4,67,83
2,5,66,91
2,5,67,94
2,6,43,112
2,6,66,86
2,6,67,87
2,7,42,111
2,7,43,104
2,7,66,94
2,7,67,85
2,8,42,99
2,8,43,110
2,8,66,97
2,8,67,85
2,9,42,96
2,9,43,117
2,9,66,91
2,9,67,87
2,10,42,69
2,10,43,95
2,10,44,56
2,10,66,98
2,10,67,86
2,11,43,127
2,11,44,89
2,11,66,92
2,11,67,94
2,12,43,101
2,12,44,116
2,12,66,103
2,12,67,78
2,13,43,101
2,13,44,115
2,13,66,101
2,13,67,83
2,14,43,326
2,14,44,334
2,14,66,96
2,14,67,91
2,15,40,48
2,15,41,531
2,15,42,626
2,15,43,403
2,15,44,469
2,15,45,926
2,15,46,625
2,15,47,26
2,15,66,93
2,15,67,88
2,16,39,19
2,16,40,883
2,16,41,960
2,16,42,602
2,16,43,392
2,16,44,819
2,16,45,700
2,16,46,992
2,16,47,943
2,16,48,61
2,16,49,132
2,16,66,411
2,16,67,80
2,17,38,12
2,17,39,1297
2,17,40,582
2,17,42,351
2,17,43,618
2,17,47,710
2,17,48,1445
2,17,49,37
2,17,50,77
2,17,51,1
2,17,66,331
2,17,67,412
2,18,37,7
2,18,38,1299
2,18,39,1
2,18,49,1436
2,18,50,46
2,18,51,60
2,18,52,3
2,18,66,420
2,18,67,381
2,19,36,1
2,19,37,883
2,19,38,286
2,19,39,280
2,19,50,1448
2,19,51,45
2,19,52,41
2,19,66,401
2,19,67,417
2,20,36,831
2,20,37,149
2,20,38,268
2,20,39,298
2,20,51,1458
2,20,52,52
2,20,66,403
2,20,67,411
2,21,21,124
2,21,22,329
2,21,23,343
2,21,24,332
2,21,25,319
2,21,26,332
2,21,27,279
2,21,28,349
2,21,29,375
2,21,30,382
2,21,31,386
2,21,32,376
2,21,33,423
2,21,34,402
2,21,35,816
2,21,36,201
2,21,37,487
2,21,38,244
2,21,39,239
2,21,40,124
2,21,51,422
2,21,52,1271
2,21,66,425
2,21,67,395
2,22,20,183
2,22,21,522
2,22,22,327
2,22,23,314
2,22,24,324
2,22,25,341
2,22,26,318
2,22,27,435
2,22,28,395
2,22,29,355
2,22,30,370
2,22,31,346
2,22,32,372
2,22,33,383
2,22,34,555
2,22,35,117
2,22,38,672
2,22,39,264
2,22,40,114
2,22,52,600
2,22,53,1174
2,22,66,406
2,22,67,415
2,23,18,2
2,23,19,226
2,23,20,484
2,23,21,1
2,23,38,528
2,23,39,548
2,23,53,709
2,23,54,1132
2,23,66,426
2,23,67,424
2,24,17,2
2,24,18,250
2,24,19,449
2,24,38,731
2,24,39,347
2,24,54,788
2,24,55,1059
2,24,66,427
2,24,67,416
2,25,16,2
2,25,17,287
2,25,18,430
2,25,37,567
2,25,38,306
2,25,39,264
2,25,55,833
2,25,56,1013
2,25,57,58
2,25,66,436
2,25,67,425
2,26,15,1
2,26,16,352
2,26,17,389
2,26,36,427
2,26,37,278
2,26,38,443
2,26,56,877
2,26,57,931
2,26,58,82
2,26,59,157
2,26,66,431
2,26,67,442
2,27,15,463
2,27,16,220
2,27,17,107
2,27,35,255
2,27,36,296
2,27,37,580
2,27,57,908
2,27,58,907
2,27,59,68
2,27,66,425
2,27,67,457
2,28,16,592
2,28,35,320
2,28,36,733
2,28,58,1029
2,28,59,757
2,28,66,549
2,28,67,437
2,29,15,311
2,29,16,338
2,29,35,523
2,29,36,535
2,29,58,508
2,29,59,812
2,29,60,491
2,29,66,510
2,29,67,606
2,30,15,320
2,30,16,324
2,30,35,765
2,30,36,244
2,30,59,797
2,30,60,968
2,30,66,622
2,30,67,603
2,31,15,322
2,31,16,330
2,31,34,687
2,31,35,160
2,31,36,288
2,31,59,118
2,31,60,895
2,31,61,773
2,31,66,707
2,31,67,537
2,32,15,312
2,32,16,333
2,32,33,562
2,32,34,296
2,32,35,666
2,32,36,190
2,32,37,156
2,32,60,185
2,32,61,1019
2,32,62,528
2,32,65,342
2,32,66,647
2,32,67,602
2,33,15,322
2,33,16,332
2,33,36,757
2,33,37,236
2,33,61,241
2,33,62,1362
2,33,65,1002
2,33,66,441
2,33,67,707
2,33,68,948
2,33,69,815
2,33,70,4
2,34,15,341
2,34,16,326
2,34,36,408
2,34,37,555
2,34,38,113
2,34,61,142
2,34,62,185
2,34,63,1327
2,34,64,1175
2,34,65,443
2,34,66,983
2,34,67,604
2,34,68,703
2,34,69,804
2,34,70,1384
2,34,71,2
2,35,15,320
2,35,16,343
2,35,37,674
2,35,38,387
2,35,62,246
2,35,63,331
2,35,64,502
2,35,65,871
2,35,71,1378
2,35,72,3
2,36,15,258
2,36,16,400
2,36,37,493
2,36,38,475
2,36,39,103
2,36,62,320
2,36,63,336
2,36,64,737
2,36,72,1371
2,36,73,6
2,37,16,396
2,37,17,260
2,37,37,573
2,37,38,496
2,37,62,448
2,37,63,906
2,37,73,1370
2,37,74,3
2,38,16,320
2,38,17,333
2,38,36,355
2,38,37,690
2,38,38,38
2,38,61,269
2,38,62,774
2,38,63,369
2,38,73,614
2,38,74,976
2,38,90,338
2,38,91,359
2,39,16,323
2,39,17,329
2,39,36,897
2,39,37,65
2,39,61,852
2,39,62,558
2,39,73,353
2,39,74,738
2,39,75,594
2,39,92,359
2,40,17,589
2,40,35,879
2,40,36,31
2,40,37,33
2,40,38,33
2,40,60,788
2,40,61,637
2,40,62,34
2,40,74,582
2,40,75,1042
2,40,93,359
2,41,17,115
2,41,18,491
2,41,34,886
2,41,35,39
2,41,36,86
2,41,37,41
2,41,38,27
2,41,59,749
2,41,60,660
2,41,61,64
2,41,74,33
2,41,75,716
2,41,76,938
2,41,94,362
2,42,18,345
2,42,19,555
2,42,20,529
2,42,21,458
2,42,32,93
2,42,33,901
2,42,34,37
2,42,35,79
2,42,36,59
2,42,37,144
2,42,58,719
2,42,59,671
2,42,60,130
2,42,75,57
2,42,76,801
2,42,77,833
2,42,94,365
2,43,17,401
2,43,18,160
2,43,19,439
2,43,20,510
2,43,21,610
2,43,22,665
2,43,23,447
2,43,31,149
2,43,32,847
2,43,33,46
2,43,34,66
2,43,56,127
2,43,57,710
2,43,58,702
2,43,59,78
2,43,75,74
2,43,76,24
2,43,77,850
2,43,78,758
2,43,92,188
2,43,93,365
2,44,16,444
2,44,17,126
2,44,18,381
2,44,22,414
2,44,23,636
2,44,24,636
2,44,25,820
2,44,29,112
2,44,30,175
2,44,31,826
2,44,32,60
2,44,33,41
2,44,56,682
2,44,57,753
2,44,58,63
2,44,76,33
2,44,77,23
2,44,78,1028
2,44,79,460
2,44,90,162
2,44,91,275
2,44,92,345
2,45,15,461
2,45,16,114
2,45,17,357
2,45,24,709
2,45,25,716
2,45,26,1238
2,45,27,148
2,45,28,181
2,45,29,114
2,45,30,825
2,45,31,36
2,45,55,655
2,45,56,795
2,45,57,51
2,45,77,37
2,45,78,23
2,45,79,1256
2,45,89,265
2,45,90,214
2,45,91,313
2,46,14,477
2,46,15,129
2,46,16,321
2,46,27,1193
2,46,28,90
2,46,29,794
2,46,54,620
2,46,55,853
2,46,56,33
2,46,57,2
2,46,78,43
2,46,79,24
2,46,80,1264
2,46,81,246
2,46,82,192
